Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,6,Incorrect,1
Basic Problem B-04,6,Incorrect,3
Basic Problem B-05,6,Incorrect,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,6,Incorrect,5
Basic Problem B-10,6,Incorrect,3
Basic Problem B-11,4,Incorrect,1
Basic Problem B-12,6,Incorrect,1
Challenge Problem B-01,6,Correct,6
Challenge Problem B-02,6,Incorrect,1
Challenge Problem B-03,6,Incorrect,3
Challenge Problem B-04,6,Incorrect,4
Challenge Problem B-05,6,Correct,6
Challenge Problem B-06,6,Incorrect,3
Challenge Problem B-07,6,Correct,6
Challenge Problem B-08,6,Incorrect,4
Challenge Problem B-09,6,Incorrect,4
Challenge Problem B-10,6,Incorrect,4
Challenge Problem B-11,6,Incorrect,5
Challenge Problem B-12,6,Incorrect,1
Basic Problem C-01,6,Incorrect,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,5,Incorrect,4
Basic Problem C-04,6,Incorrect,8
Basic Problem C-05,4,Incorrect,3
Basic Problem C-06,5,Incorrect,7
Basic Problem C-07,5,Incorrect,2
Basic Problem C-08,6,Incorrect,5
Basic Problem C-09,3,Incorrect,2
Basic Problem C-10,6,Incorrect,7
Basic Problem C-11,6,Incorrect,4
Basic Problem C-12,6,Incorrect,8
